"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get file","LMS service","Sat May 16 10:33:38 UTC 2026","passed","Sat May 16 10:33:38 UTC 2026","Get entity","Files","",""
"","305","Update course","LMS service","Sat May 16 10:33:33 UTC 2026","passed","Sat May 16 10:33:33 UTC 2026","Update entity","Courses","",""
"","271","Get file with incorrect file id","LMS service","Sat May 16 10:33:40 UTC 2026","passed","Sat May 16 10:33:41 UTC 2026","Validate entity","Files","",""
"","13","Get user me","LMS service","Sat May 16 10:33:42 UTC 2026","passed","Sat May 16 10:33:42 UTC 2026","Get entity","Users","",""
"","22","Delete file","LMS service","Sat May 16 10:33:40 UTC 2026","passed","Sat May 16 10:33:40 UTC 2026","Delete entity","Files","",""
"","266","Create file with empty directory","LMS service","Sat May 16 10:33:39 UTC 2026","passed","Sat May 16 10:33:39 UTC 2026","Validate entity","Files","",""
"","16","Get exercise","LMS service","Sat May 16 10:33:36 UTC 2026","passed","Sat May 16 10:33:36 UTC 2026","Get entity","Exercises","",""
"","21","Delete exercise","LMS service","Sat May 16 10:33:37 UTC 2026","passed","Sat May 16 10:33:37 UTC 2026","Delete entity","Exercises","",""
"","290","Create user","LMS service","Sat May 16 10:33:41 UTC 2026","passed","Sat May 16 10:33:41 UTC 2026","Create entity","Users","",""
"","28","Get courses","LMS service","Sat May 16 10:33:33 UTC 2026","passed","Sat May 16 10:33:34 UTC 2026","Get entities","Courses","",""
"","18","Get exercises","LMS service","Sat May 16 10:33:37 UTC 2026","passed","Sat May 16 10:33:37 UTC 2026","Get entities","Exercises","",""
"","23","Update exercise","LMS service","Sat May 16 10:33:35 UTC 2026","passed","Sat May 16 10:33:35 UTC 2026","Update entity","Exercises","",""
"","553","Login with correct email and password","LMS service","Sat May 16 10:33:32 UTC 2026","passed","Sat May 16 10:33:33 UTC 2026","Login","Authentication","",""
"","293","Create exercise","LMS service","Sat May 16 10:33:35 UTC 2026","passed","Sat May 16 10:33:35 UTC 2026","Create entity","Exercises","",""
"","29","Create course","LMS service","Sat May 16 10:33:34 UTC 2026","passed","Sat May 16 10:33:34 UTC 2026","Create entity","Courses","",""
"","269","Create file with empty filename","LMS service","Sat May 16 10:33:39 UTC 2026","passed","Sat May 16 10:33:39 UTC 2026","Validate entity","Files","",""
"","562","Create user","LMS service","Sat May 16 10:33:41 UTC 2026","passed","Sat May 16 10:33:41 UTC 2026","Create entity","Users","",""
"","265","Create file","LMS service","Sat May 16 10:33:37 UTC 2026","passed","Sat May 16 10:33:38 UTC 2026","Create entity","Files","",""
"","534","Create user","LMS service","Sat May 16 10:33:40 UTC 2026","passed","Sat May 16 10:33:41 UTC 2026","Create entity","Users","",""
