"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","270","Create file with empty directory","LMS service","Tue May 26 03:18:20 UTC 2026","passed","Tue May 26 03:18:21 UTC 2026","Validate entity","Files","",""
"","293","Update exercise","LMS service","Tue May 26 03:18:16 UTC 2026","passed","Tue May 26 03:18:17 UTC 2026","Update entity","Exercises","",""
"","553","Login with correct email and password","LMS service","Tue May 26 03:18:13 UTC 2026","passed","Tue May 26 03:18:13 UTC 2026","Login","Authentication","",""
"","287","Delete exercise","LMS service","Tue May 26 03:18:18 UTC 2026","passed","Tue May 26 03:18:18 UTC 2026","Delete entity","Exercises","",""
"","561","Create user","LMS service","Tue May 26 03:18:22 UTC 2026","passed","Tue May 26 03:18:22 UTC 2026","Create entity","Users","",""
"","29","Create course","LMS service","Tue May 26 03:18:15 UTC 2026","passed","Tue May 26 03:18:15 UTC 2026","Create entity","Courses","",""
"","534","Create user","LMS service","Tue May 26 03:18:21 UTC 2026","passed","Tue May 26 03:18:22 UTC 2026","Create entity","Users","",""
"","272","Create file","LMS service","Tue May 26 03:18:19 UTC 2026","passed","Tue May 26 03:18:19 UTC 2026","Create entity","Files","",""
"","12","Get user me","LMS service","Tue May 26 03:18:23 UTC 2026","passed","Tue May 26 03:18:23 UTC 2026","Get entity","Users","",""
"","273","Get file with incorrect file id","LMS service","Tue May 26 03:18:21 UTC 2026","passed","Tue May 26 03:18:22 UTC 2026","Validate entity","Files","",""
"","16","Get exercises","LMS service","Tue May 26 03:18:18 UTC 2026","passed","Tue May 26 03:18:18 UTC 2026","Get entities","Exercises","",""
"","302","Update course","LMS service","Tue May 26 03:18:13 UTC 2026","passed","Tue May 26 03:18:14 UTC 2026","Update entity","Courses","",""
"","20","Create exercise","LMS service","Tue May 26 03:18:16 UTC 2026","passed","Tue May 26 03:18:16 UTC 2026","Create entity","Exercises","",""
"","297","Get courses","LMS service","Tue May 26 03:18:14 UTC 2026","passed","Tue May 26 03:18:15 UTC 2026","Get entities","Courses","",""
"","291","Create user","LMS service","Tue May 26 03:18:22 UTC 2026","passed","Tue May 26 03:18:22 UTC 2026","Create entity","Users","",""
"","261","Create file with empty filename","LMS service","Tue May 26 03:18:20 UTC 2026","passed","Tue May 26 03:18:20 UTC 2026","Validate entity","Files","",""
"","20","Get exercise","LMS service","Tue May 26 03:18:17 UTC 2026","passed","Tue May 26 03:18:17 UTC 2026","Get entity","Exercises","",""
"","18","Get file","LMS service","Tue May 26 03:18:19 UTC 2026","passed","Tue May 26 03:18:19 UTC 2026","Get entity","Files","",""
"","20","Delete file","LMS service","Tue May 26 03:18:21 UTC 2026","passed","Tue May 26 03:18:21 UTC 2026","Delete entity","Files","",""
