"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Update exercise","LMS service","Tue May 26 03:45:00 UTC 2026","passed","Tue May 26 03:45:00 UTC 2026","Update entity","Exercises","",""
"","21","Create file with empty filename","LMS service","Tue May 26 03:45:03 UTC 2026","passed","Tue May 26 03:45:03 UTC 2026","Validate entity","Files","",""
"","558","Create user","LMS service","Tue May 26 03:45:04 UTC 2026","passed","Tue May 26 03:45:05 UTC 2026","Create entity","Users","",""
"","288","Login with correct email and password","LMS service","Tue May 26 03:44:56 UTC 2026","passed","Tue May 26 03:44:57 UTC 2026","Login","Authentication","",""
"","296","Create exercise","LMS service","Tue May 26 03:44:59 UTC 2026","passed","Tue May 26 03:44:59 UTC 2026","Create entity","Exercises","",""
"","38","Create course","LMS service","Tue May 26 03:44:58 UTC 2026","passed","Tue May 26 03:44:58 UTC 2026","Create entity","Courses","",""
"","22","Create file","LMS service","Tue May 26 03:45:02 UTC 2026","passed","Tue May 26 03:45:02 UTC 2026","Create entity","Files","",""
"","21","Get file","LMS service","Tue May 26 03:45:03 UTC 2026","passed","Tue May 26 03:45:03 UTC 2026","Get entity","Files","",""
"","13","Get user me","LMS service","Tue May 26 03:45:06 UTC 2026","passed","Tue May 26 03:45:06 UTC 2026","Get entity","Users","",""
"","568","Create user","LMS service","Tue May 26 03:45:05 UTC 2026","passed","Tue May 26 03:45:06 UTC 2026","Create entity","Users","",""
"","567","Create user","LMS service","Tue May 26 03:45:05 UTC 2026","passed","Tue May 26 03:45:06 UTC 2026","Create entity","Users","",""
"","270","Get file with incorrect file id","LMS service","Tue May 26 03:45:05 UTC 2026","passed","Tue May 26 03:45:05 UTC 2026","Validate entity","Files","",""
"","297","Delete file","LMS service","Tue May 26 03:45:04 UTC 2026","passed","Tue May 26 03:45:04 UTC 2026","Delete entity","Files","",""
"","299","Get courses","LMS service","Tue May 26 03:44:58 UTC 2026","passed","Tue May 26 03:44:58 UTC 2026","Get entities","Courses","",""
"","307","Update course","LMS service","Tue May 26 03:44:57 UTC 2026","passed","Tue May 26 03:44:58 UTC 2026","Update entity","Courses","",""
"","23","Delete exercise","LMS service","Tue May 26 03:45:01 UTC 2026","passed","Tue May 26 03:45:01 UTC 2026","Delete entity","Exercises","",""
"","264","Create file with empty directory","LMS service","Tue May 26 03:45:04 UTC 2026","passed","Tue May 26 03:45:04 UTC 2026","Validate entity","Files","",""
"","16","Get exercise","LMS service","Tue May 26 03:45:01 UTC 2026","passed","Tue May 26 03:45:01 UTC 2026","Get entity","Exercises","",""
"","18","Get exercises","LMS service","Tue May 26 03:45:02 UTC 2026","passed","Tue May 26 03:45:02 UTC 2026","Get entities","Exercises","",""
