"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get user me","LMS service","Wed May 13 08:50:15 UTC 2026","passed","Wed May 13 08:50:15 UTC 2026","Get entity","Users","",""
"","17","Create file","LMS service","Wed May 13 08:50:10 UTC 2026","passed","Wed May 13 08:50:10 UTC 2026","Create entity","Files","",""
"","657","Create user","LMS service","Wed May 13 08:50:14 UTC 2026","passed","Wed May 13 08:50:14 UTC 2026","Create entity","Users","",""
"","328","Update exercise","LMS service","Wed May 13 08:50:07 UTC 2026","passed","Wed May 13 08:50:08 UTC 2026","Update entity","Exercises","",""
"","29","Create course","LMS service","Wed May 13 08:50:06 UTC 2026","passed","Wed May 13 08:50:06 UTC 2026","Create entity","Courses","",""
"","328","Delete file","LMS service","Wed May 13 08:50:13 UTC 2026","passed","Wed May 13 08:50:13 UTC 2026","Delete entity","Files","",""
"","21","Get exercise","LMS service","Wed May 13 08:50:09 UTC 2026","passed","Wed May 13 08:50:09 UTC 2026","Get entity","Exercises","",""
"","292","Get file with incorrect file id","LMS service","Wed May 13 08:50:13 UTC 2026","passed","Wed May 13 08:50:14 UTC 2026","Validate entity","Files","",""
"","299","Create file with empty directory","LMS service","Wed May 13 08:50:12 UTC 2026","passed","Wed May 13 08:50:13 UTC 2026","Validate entity","Files","",""
"","627","Create user","LMS service","Wed May 13 08:50:13 UTC 2026","passed","Wed May 13 08:50:14 UTC 2026","Create entity","Users","",""
"","620","Login with correct email and password","LMS service","Wed May 13 08:50:04 UTC 2026","passed","Wed May 13 08:50:05 UTC 2026","Login","Authentication","",""
"","343","Update course","LMS service","Wed May 13 08:50:05 UTC 2026","passed","Wed May 13 08:50:05 UTC 2026","Update entity","Courses","",""
"","12","Get file","LMS service","Wed May 13 08:50:11 UTC 2026","passed","Wed May 13 08:50:11 UTC 2026","Get entity","Files","",""
"","329","Get courses","LMS service","Wed May 13 08:50:06 UTC 2026","passed","Wed May 13 08:50:06 UTC 2026","Get entities","Courses","",""
"","17","Create file with empty filename","LMS service","Wed May 13 08:50:11 UTC 2026","passed","Wed May 13 08:50:11 UTC 2026","Validate entity","Files","",""
"","22","Delete exercise","LMS service","Wed May 13 08:50:09 UTC 2026","passed","Wed May 13 08:50:09 UTC 2026","Delete entity","Exercises","",""
"","15","Get exercises","LMS service","Wed May 13 08:50:10 UTC 2026","passed","Wed May 13 08:50:10 UTC 2026","Get entities","Exercises","",""
"","657","Create user","LMS service","Wed May 13 08:50:14 UTC 2026","passed","Wed May 13 08:50:14 UTC 2026","Create entity","Users","",""
"","23","Create exercise","LMS service","Wed May 13 08:50:07 UTC 2026","passed","Wed May 13 08:50:07 UTC 2026","Create entity","Exercises","",""
