"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Create file with empty filename","LMS service","Tue May 26 04:06:49 UTC 2026","passed","Tue May 26 04:06:49 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Tue May 26 04:06:52 UTC 2026","passed","Tue May 26 04:06:52 UTC 2026","Get entity","Users","",""
"","274","Create user","LMS service","Tue May 26 04:06:51 UTC 2026","passed","Tue May 26 04:06:51 UTC 2026","Create entity","Users","",""
"","522","Login with correct email and password","LMS service","Tue May 26 04:06:43 UTC 2026","passed","Tue May 26 04:06:44 UTC 2026","Login","Authentication","",""
"","15","Get exercise","LMS service","Tue May 26 04:06:47 UTC 2026","passed","Tue May 26 04:06:47 UTC 2026","Get entity","Exercises","",""
"","276","Create exercise","LMS service","Tue May 26 04:06:45 UTC 2026","passed","Tue May 26 04:06:46 UTC 2026","Create entity","Exercises","",""
"","268","Get exercises","LMS service","Tue May 26 04:06:48 UTC 2026","passed","Tue May 26 04:06:48 UTC 2026","Get entities","Exercises","",""
"","18","Get file","LMS service","Tue May 26 04:06:49 UTC 2026","passed","Tue May 26 04:06:49 UTC 2026","Get entity","Files","",""
"","28","Get courses","LMS service","Tue May 26 04:06:44 UTC 2026","passed","Tue May 26 04:06:44 UTC 2026","Get entities","Courses","",""
"","23","Update exercise","LMS service","Tue May 26 04:06:46 UTC 2026","passed","Tue May 26 04:06:46 UTC 2026","Update entity","Exercises","",""
"","280","Delete file","LMS service","Tue May 26 04:06:50 UTC 2026","passed","Tue May 26 04:06:51 UTC 2026","Delete entity","Files","",""
"","33","Update course","LMS service","Tue May 26 04:06:44 UTC 2026","passed","Tue May 26 04:06:44 UTC 2026","Update entity","Courses","",""
"","30","Create course","LMS service","Tue May 26 04:06:45 UTC 2026","passed","Tue May 26 04:06:45 UTC 2026","Create entity","Courses","",""
"","275","Delete exercise","LMS service","Tue May 26 04:06:47 UTC 2026","passed","Tue May 26 04:06:47 UTC 2026","Delete entity","Exercises","",""
"","19","Create file","LMS service","Tue May 26 04:06:48 UTC 2026","passed","Tue May 26 04:06:48 UTC 2026","Create entity","Files","",""
"","251","Get file with incorrect file id","LMS service","Tue May 26 04:06:51 UTC 2026","passed","Tue May 26 04:06:51 UTC 2026","Validate entity","Files","",""
"","532","Create user","LMS service","Tue May 26 04:06:51 UTC 2026","passed","Tue May 26 04:06:52 UTC 2026","Create entity","Users","",""
"","252","Create file with empty directory","LMS service","Tue May 26 04:06:50 UTC 2026","passed","Tue May 26 04:06:50 UTC 2026","Validate entity","Files","",""
"","526","Create user","LMS service","Tue May 26 04:06:51 UTC 2026","passed","Tue May 26 04:06:51 UTC 2026","Create entity","Users","",""
