"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Create exercise","LMS service","Mon May 25 08:55:35 UTC 2026","passed","Mon May 25 08:55:35 UTC 2026","Create entity","Exercises","",""
"","324","Create user","LMS service","Mon May 25 08:55:42 UTC 2026","passed","Mon May 25 08:55:42 UTC 2026","Create entity","Users","",""
"","305","Get file with incorrect file id","LMS service","Mon May 25 08:55:42 UTC 2026","passed","Mon May 25 08:55:42 UTC 2026","Validate entity","Files","",""
"","303","Create file with empty directory","LMS service","Mon May 25 08:55:40 UTC 2026","passed","Mon May 25 08:55:41 UTC 2026","Validate entity","Files","",""
"","624","Login with correct email and password","LMS service","Mon May 25 08:55:32 UTC 2026","passed","Mon May 25 08:55:33 UTC 2026","Login","Authentication","",""
"","19","Delete exercise","LMS service","Mon May 25 08:55:38 UTC 2026","passed","Mon May 25 08:55:38 UTC 2026","Delete entity","Exercises","",""
"","309","Create file","LMS service","Mon May 25 08:55:38 UTC 2026","passed","Mon May 25 08:55:39 UTC 2026","Create entity","Files","",""
"","328","Get courses","LMS service","Mon May 25 08:55:34 UTC 2026","passed","Mon May 25 08:55:34 UTC 2026","Get entities","Courses","",""
"","333","Create course","LMS service","Mon May 25 08:55:34 UTC 2026","passed","Mon May 25 08:55:35 UTC 2026","Create entity","Courses","",""
"","14","Get exercise","LMS service","Mon May 25 08:55:37 UTC 2026","passed","Mon May 25 08:55:37 UTC 2026","Get entity","Exercises","",""
"","303","Create file with empty filename","LMS service","Mon May 25 08:55:40 UTC 2026","passed","Mon May 25 08:55:40 UTC 2026","Validate entity","Files","",""
"","336","Update course","LMS service","Mon May 25 08:55:33 UTC 2026","passed","Mon May 25 08:55:33 UTC 2026","Update entity","Courses","",""
"","20","Delete file","LMS service","Mon May 25 08:55:41 UTC 2026","passed","Mon May 25 08:55:41 UTC 2026","Delete entity","Files","",""
"","604","Create user","LMS service","Mon May 25 08:55:41 UTC 2026","passed","Mon May 25 08:55:42 UTC 2026","Create entity","Users","",""
"","20","Update exercise","LMS service","Mon May 25 08:55:36 UTC 2026","passed","Mon May 25 08:55:36 UTC 2026","Update entity","Exercises","",""
"","12","Get user me","LMS service","Mon May 25 08:55:43 UTC 2026","passed","Mon May 25 08:55:43 UTC 2026","Get entity","Users","",""
"","14","Get file","LMS service","Mon May 25 08:55:39 UTC 2026","passed","Mon May 25 08:55:39 UTC 2026","Get entity","Files","",""
"","623","Create user","LMS service","Mon May 25 08:55:42 UTC 2026","passed","Mon May 25 08:55:42 UTC 2026","Create entity","Users","",""
"","17","Get exercises","LMS service","Mon May 25 08:55:38 UTC 2026","passed","Mon May 25 08:55:38 UTC 2026","Get entities","Exercises","",""
